节点名称,亚马逊分类
食品,食品
食品/休闲零食,休闲零食||海味零食||豆干||龟苓膏
食品/休闲零食/糕点,糕点饼干||饼干||派||沙琪玛||蛋糕||糕点||曲奇||蛋卷||米花米糕||月饼
食品/休闲零食/肉类,肉类零食
食品/休闲零食/坚果,干果
食品/休闲零食/豆类,
食品/休闲零食/膨化油炸,膨化食品
食品/休闲零食/糖类,果冻布丁||糖果||奶糖||酥糖||水果糖||咖啡糖||太妃糖||棉花糖||棒棒糖||什锦糖||坚果糖||润喉糖||口香糖||巧克力||黑巧克力||白巧克力||牛奶巧克力||巧克力豆||夹心巧克力||酒心巧克力||手工巧克力||巧克力礼盒
食品/休闲零食/果干蜜饯,蜜饯果脯果干||枣
食品/休闲零食/乳品,
食品/健康饮食,
食品/健康饮食/营养滋补,保健食品||减肥瘦身||美容养颜||健脑营养||补血保健||补钙保健||维生素类||免疫抗疲劳||男士健康保健
食品/健康饮食/有机食品,
食品/健康饮食/无糖食品,
食品/粮油调味,米面杂粮
食品/粮油调味/米类,大米
食品/粮油调味/面类,面粉||面条||挂面||荞麦面||拉面||龙须面||冷面||乌冬面||意大利面||蝴蝶结面||天使细面||大宽面||弯弯面||螺壳面||千层面||粒粒面||尖尖面||粗通心面||螺旋粉||直身面||中宽卷面||细通心面||字母面||极细面
食品/粮油调味/杂粮,杂粮||豆类||玉米
食品/粮油调味/食用油,食用油||橄榄油||核桃油||葡萄籽油||花生油||玉米油||芝麻油||山茶油||红花籽油||葵花籽油||亚麻籽油||大豆油||调和油||稻米油||菜籽油||椰子油||胡麻油||杏仁油||棕榈油||月见草油||花椒籽油
食品/粮油调味/烘培辅料,
食品/粮油调味/调味品,调味品||食盐||味精\鸡精||糖||酱油||醋||料酒\黄酒||调味粉||调味酱||果酱||巧克力酱\花生酱||调味汁||香油||香辛料||咖喱||芥末||火锅料||汤料||酱菜
食品/粮油调味/咸蛋卤蛋,
食品/粮油调味/咸菜,
食品/粮油调味/南北干货,干货||食用菌||黑木耳||水产干货||银耳||笋干||腐竹||枸杞||莲子||桂圆||枣||菜干||米粉||粉丝\粉条
食品/粮油调味/方便速食,方便食品||罐头||火腿肠||熟食||方便面||方便米粉||方便米饭||方便粥||即食汤||酱菜
食品/粮油调味/熟食,
食品/粮油调味/速冻食品,
食品/粮油调味/半成品,
食品/饮料饮品,饮料||冲调食品
食品/饮料饮品/饮用水,饮用水||苏打水
食品/饮料饮品/饮料,碳酸饮料||果蔬饮料||运动饮料||茶类饮料||柠檬水
食品/饮料饮品/冲饮谷物,麦片||玉米片||糊状冲调品||豆浆\豆奶粉
食品/饮料饮品/果味冲饮,冲饮\浓缩汁||果味冲饮
食品/饮料饮品/咖啡,即饮咖啡||咖啡及可可||速溶咖啡||咖啡豆\粉||咖啡伴侣\辅料||即饮咖啡||可可\巧克力粉
食品/饮料饮品/奶茶,奶茶
食品/饮料饮品/奶粉,奶粉
食品/饮料饮品/乳制品,乳品饮料
食品/饮料饮品/蜂蜜果茶,柚子茶||果茶||蜂制品
食品/茶,茶||保健茶
食品/茶/绿茶,绿茶
食品/茶/龙井,
食品/茶/碧螺春,
食品/茶/白茶,白茶
食品/茶/黄茶,黄茶
食品/茶/铁观音,乌龙茶\铁观音
食品/茶/乌龙茶,乌龙茶\铁观音
食品/茶/红茶,红茶
食品/茶/黑茶,黑茶\普洱茶
食品/茶/普洱,黑茶\普洱茶
食品/茶/花茶,花茶||花草茶
食品/茶/大麦茶,
食品/茶/苦荞,
食品/茶/柠檬片,
食品/酒,酒||套装礼盒
食品/酒/啤酒,啤酒
食品/酒/白酒,白酒
食品/酒/洋酒,洋酒
食品/酒/葡萄酒,葡萄酒
食品/酒/黄酒养生酒,黄酒、米酒、滋补酒
食品/酒/清酒米酒,黄酒、米酒、滋补酒||烧酒、清酒、梅酒
食品/酒/果酒奶酒,奶酒、果酒
食品/酒/收藏酒,
食品/酒/特调酒,鸡尾酒饮料
食品/酒/气泡酒,
食品/水果蔬菜,
食品/水果蔬菜/水果,
食品/水果蔬菜/进口水果,
食品/水果蔬菜/蔬菜,
食品/生鲜,
食品/生鲜/牛羊肉,
食品/生鲜/猪肉,
食品/生鲜/家禽,
食品/生鲜/蛋类,
食品/生鲜/海鲜,
食品/进口食品,
食品/进口食品/进口水果,
食品/进口食品/进口乳制品,
食品/进口食品/进口酒,
食品/进口食品/进口甜点,
食品/进口食品/进口茶咖啡,
食品/进口食品/进口水/饮料,
食品/进口食品/进口零食,
食品/进口食品/粮油米面,
食品/进口食品/进口调料,
食品/进口食品/进口冲饮,
食品/进口食品/蜜饯坚果,
食品/进口食品/进口生鲜,
食品/进口食品/进口营养品,
食品/节日特色,
食品/节日特色/元宵汤圆,
食品/节日特色/粽子,粽子
食品/节日特色/月饼,月饼
食品/地方特产,
食品/地方特产/东北,
食品/地方特产/华北,
食品/地方特产/西北,
食品/地方特产/华东,
食品/地方特产/华南,
食品/地方特产/华中,
食品/地方特产/西南,
