节点名称,京东分类,京东ID
食品,,
食品/休闲零食,休闲零食,1320-1583-1590
食品/休闲零食/糕点,饼干蛋糕||糕点,1320-1583-1595||12218-12224-12257
食品/休闲零食/肉类,肉干肉脯,1320-1583-1592
食品/休闲零食/坚果,坚果炒货,1320-1583-1591
食品/休闲零食/豆类,,
食品/休闲零食/膨化油炸,,
食品/休闲零食/糖类,糖果/巧克力,1320-1583-1594
食品/休闲零食/果干蜜饯,蜜饯果干,1320-1583-1593
食品/休闲零食/乳品,奶制品,12218-12223-12251
食品/健康饮食,,
食品/健康饮食/营养滋补,,
食品/健康饮食/有机食品,有机食品,1320-1584-2680
食品/健康饮食/无糖食品,无糖食品,1320-1583-7121
食品/粮油调味,,
食品/粮油调味/米类,米面杂粮,1320-1584-2675
食品/粮油调味/面类,米面杂粮,1320-1584-2675
食品/粮油调味/杂粮,米面杂粮,1320-1584-2675
食品/粮油调味/食用油,食用油,1320-1584-2676
食品/粮油调味/烘培辅料,,
食品/粮油调味/调味品,调味品,1320-1584-2677
食品/粮油调味/咸蛋卤蛋,,
食品/粮油调味/咸菜,,
食品/粮油调味/南北干货,南北干货,1320-1584-2678
食品/粮油调味/方便速食,方便食品,1320-1584-2679
食品/粮油调味/熟食,熟食||腊肠/腊肉||火腿,12218-12224-12252||12218-12224-12253||12218-12224-12254
食品/粮油调味/速冻食品,面食,12218-12224-12256
食品/粮油调味/半成品,半成品,12218-12224-12255
食品/饮料饮品,,
食品/饮料饮品/饮用水,饮用水,1320-1585-10975
食品/饮料饮品/饮料,饮料,1320-1585-1602
食品/饮料饮品/冲饮谷物,冲饮谷物,1320-1585-1601
食品/饮料饮品/果味冲饮,,
食品/饮料饮品/咖啡,咖啡/奶茶,1320-1585-3986
食品/饮料饮品/奶茶,咖啡/奶茶,1320-1585-3986
食品/饮料饮品/奶粉,成人奶粉,1320-1585-12201
食品/饮料饮品/乳制品,牛奶乳品,1320-1585-9434
食品/饮料饮品/蜂蜜果茶,蜂蜜/柚子茶,1320-1585-12200
食品/茶,其它茶||养生茶,1320-12202-12214||1320-12202-12211
食品/茶/绿茶,绿茶,1320-12202-12206
食品/茶/龙井,龙井,1320-12202-12205
食品/茶/碧螺春,,
食品/茶/白茶,白茶,1320-12202-12213
食品/茶/黄茶,,
食品/茶/铁观音,铁观音,1320-12202-12203
食品/茶/乌龙茶,乌龙茶,1320-12202-12208
食品/茶/红茶,红茶,1320-12202-12207
食品/茶/黑茶,黑茶,1320-12202-12212
食品/茶/普洱,普洱,1320-12202-12204
食品/茶/花茶,花草茶||花果茶,1320-12202-12209||1320-12202-12210
食品/茶/大麦茶,,
食品/茶/苦荞,,
食品/茶/柠檬片,,
食品/酒,,
食品/酒/啤酒,啤酒,12259-12260-9439
食品/酒/白酒,,
食品/酒/洋酒,,
食品/酒/葡萄酒,葡萄酒,12259-12260-9438
食品/酒/黄酒养生酒,黄酒/养生酒,12259-12260-9436
食品/酒/清酒米酒,,
食品/酒/果酒奶酒,,
食品/酒/收藏酒,收藏酒/陈年老酒,12259-12260-12261
食品/酒/特调酒,,
食品/酒/气泡酒,,
食品/水果蔬菜,,
食品/水果蔬菜/水果,国产水果,12218-12221-12237
食品/水果蔬菜/进口水果,进口水果,12218-12221-12238
食品/水果蔬菜/蔬菜,蔬菜,12218-12221-12239
食品/生鲜,新鲜肉类,
食品/生鲜/牛羊肉,牛排||牛羊肉,12218-12223-12246||12218-12223-12248
食品/生鲜/猪肉,猪肉,12218-12223-12247
食品/生鲜/家禽,鸡鸭禽类,12218-12223-12249
食品/生鲜/蛋类,蛋类,12218-12223-12250
食品/生鲜/海鲜,大闸蟹||海参||鱼||虾||蟹||贝||干海产品||东北||华北||西北||华中||华东||华南||西南,1320-2641-2643||12218-12222-12240||12218-12222-12241||12218-12222-12242||12218-12222-12243||12218-12222-12244||12218-12222-12245||12218-12219-12225||12218-12219-12226||12218-12219-12227||12218-12219-12228||12218-12219-12229||12218-12219-12230||12218-12219-12231
食品/进口食品,,
食品/进口食品/进口水果,,
食品/进口食品/进口乳制品,牛奶,1320-5019-12215
食品/进口食品/进口酒,,
食品/进口食品/进口甜点,饼干蛋糕||糖果/巧克力,1320-5019-5020||1320-5019-5021
食品/进口食品/进口茶咖啡,,
食品/进口食品/进口水/饮料,,
食品/进口食品/进口零食,休闲零食,1320-5019-5022
食品/进口食品/粮油米面,粮油调味,1320-5019-5024
食品/进口食品/进口调料,,
食品/进口食品/进口冲饮,冲调饮品,1320-5019-5023
食品/进口食品/蜜饯坚果,,
食品/进口食品/进口生鲜,,
食品/进口食品/进口营养品,,
食品/节日特色,,
食品/节日特色/元宵汤圆,,
食品/节日特色/粽子,粽子,1320-2641-4935
食品/节日特色/月饼,月饼,1320-2641-2642
食品/地方特产,,
食品/地方特产/东北,,
食品/地方特产/华北,,
食品/地方特产/西北,,
食品/地方特产/华东,,
食品/地方特产/华南,,
食品/地方特产/华中,,
食品/地方特产/西南,,
