节点名称,百度MP3
音乐/风格流派,
音乐/风格流派/流行,
音乐/风格流派/摇滚,摇滚||慢摇
音乐/风格流派/乡村,乡村
音乐/风格流派/R&B,
音乐/风格流派/嘻哈,嘻哈
音乐/风格流派/电子,电子
音乐/风格流派/爵士,爵士
音乐/风格流派/古典,古典音乐
音乐/风格流派/民谣,民谣
音乐/风格流派/拉丁,
音乐/风格流派/英伦,
音乐/风格流派/舞曲,舞曲
音乐/风格流派/新世纪,
音乐/风格流派/轻音乐,轻音乐
音乐/风格流派/蓝调,节奏布鲁斯
音乐/风格流派/灵魂音乐,
音乐/风格流派/中国古典,古风
音乐/风格流派/中国风,中国风
音乐/风格流派/网络,网络歌曲
音乐/风格流派/DJ,DJ
音乐/风格流派/小清新,小清新
音乐/风格流派/综艺热歌,
音乐/语种,
音乐/语种/华语,国语
音乐/语种/粤语,粤语
音乐/语种/英语,欧美||欧美经典
音乐/语种/韩语,韩语
音乐/语种/日语,日语
音乐/语种/小语种,俄罗斯||印度||藏歌||法语||拉丁
音乐/语种/闽南语,闽南语
音乐/心情,
音乐/心情/伤感,伤感
音乐/心情/安静,安静||舒缓
音乐/心情/幸福甜蜜,
音乐/心情/失落,甜蜜||浪漫
音乐/心情/欢快,
音乐/心情/叛逆,
音乐/心情/感性,
音乐/心情/励志,励志
音乐/心情/宣泄,
音乐/心情/心痛,
音乐/心情/治愈,治愈
音乐/心情/孤单,寂寞
音乐/心情/期待,
音乐/心情/思念,想念
音乐/心情/感动,
音乐/心情/激情,激情
音乐/心情/失恋,
音乐/心情/怀旧,怀旧||怀念
音乐/心情/开心,喜悦
音乐/心情/思乡,
音乐/心情/忧郁,
音乐/心情/感恩,
音乐/心情/轻松,舒服
音乐/场景,
音乐/场景/广场舞,广场舞
音乐/场景/校园,校园||青春
音乐/场景/旅行,旅行
音乐/场景/背景音乐,背景音乐
音乐/场景/午后,午后
音乐/场景/夜店,夜店
音乐/场景/酒吧,酒吧
音乐/场景/咖啡厅,咖啡厅
音乐/场景/婚礼,婚礼
音乐/场景/现场,现场
音乐/场景/汽车,汽车
音乐/场景/毕业离别,毕业
音乐/场景/运动,
音乐/场景/睡前,
音乐/场景/约会/烛光,
音乐/场景/聚会派对,
音乐/场景/散步,
音乐/场景/下午茶,
音乐/场景/公共交通,
音乐/场景/学习,
音乐/场景/工作,
音乐/场景/减压,
音乐/场景/瑜伽,
音乐/特色,
音乐/特色/民歌,民歌||云南民歌||新疆民歌
音乐/特色/纯音乐,
音乐/特色/儿歌,儿歌||英文儿歌||童声
音乐/特色/影视,电视剧||电影
音乐/特色/动漫,日本动漫||动漫
音乐/特色/游戏,
音乐/特色/广告,广告歌曲
音乐/特色/K歌,
音乐/特色/现场,
音乐/特色/70后,70后
音乐/特色/80后,80后
音乐/特色/90后,90后
音乐/特色/神曲搞笑,
音乐/特色/胎教,胎教
音乐/特色/情歌对唱,情歌||对唱
音乐/特色/歌剧,
音乐/特色/音乐剧,
音乐/特色/红色,红歌||军旅歌曲
音乐/特色/中国好声音,中国好声音
音乐/特色/我是歌手,我是歌手
音乐/特色/经典老歌,经典老歌||流金岁月
音乐/特色/曲艺,戏曲||京剧||昆曲||豫剧||黄梅戏||越剧||河北梆子||河南坠子
音乐/特色/相声,相声曲艺||笑话段子
音乐/特色/小说评书,小说读物||浪漫言情||探案推理||穿越架空||都市情感
音乐/特色/故事,儿童故事
音乐/特色/科教读物,
音乐/特色/名著,
音乐/特色/铃声,DJ铃声||网络铃声||搞笑铃声||个性铃声||经典铃声||可爱铃声||影视广告铃声||动漫铃声||游戏铃声
音乐/特色/爱情,
音乐/特色/友情,
音乐/特色/亲情,
音乐/特色/宗教,佛教音乐
音乐/特色/外国艺术歌曲,
音乐/特色/美声,
音乐/乐器,
音乐/乐器/钢琴曲,钢琴曲
音乐/乐器/古筝,
音乐/乐器/萨克斯,
音乐/乐器/二胡,
音乐/乐器/葫芦丝,
音乐/乐器/小提琴,
音乐/乐器/大提琴,
音乐/乐器/琵琶,
音乐/乐器/管弦乐,
音乐/乐器/吉他,
音乐/乐器/竖琴,
音乐/乐器/笛箫,
音乐/乐器/口琴,
音乐/乐器/交响乐,交响乐
音乐/乐器/民乐,
音乐/歌手,
音乐/歌手/王菲,王菲
音乐/歌手/凤凰传奇,凤凰传奇
音乐/歌手/筷子兄弟,筷子兄弟
音乐/歌手/邓紫棋,邓紫棋
音乐/歌手/汪峰,汪峰
音乐/歌手/张学友,张学友
音乐/歌手/陈奕迅,陈奕迅
音乐/歌手/周杰伦,周杰伦
音乐/歌手/Beyond,Beyond
音乐/歌手/李玉刚,李玉刚
音乐/歌手/张杰,张杰
音乐/歌手/姚贝娜,姚贝娜
音乐/歌手/李荣浩,李荣浩
音乐/歌手/邓丽君,邓丽君
音乐/歌手/钟汉良,钟汉良
音乐/歌手/张靓颖,张靓颖
音乐/歌手/张惠妹,张惠妹
音乐/歌手/祁隆,祁隆
音乐/歌手/刘德华,刘德华
音乐/歌手/龙梅子,龙梅子
音乐/歌手/降央卓玛,降央卓玛
音乐/歌手/郑源,郑源
音乐/歌手/A-Lin,A-Lin
音乐/歌手/朴树,朴树
音乐/歌手/冷漠,冷漠
音乐/歌手/TFBOYS,TFBOYS
音乐/歌手/刀郎,刀郎
音乐/歌手/莫文蔚,莫文蔚
音乐/歌手/乌兰图雅,乌兰图雅
音乐/歌手/林俊杰,林俊杰
音乐/歌手/李健,李健
音乐/歌手/梁静茹,梁静茹
音乐/歌手/唐嫣,唐嫣
音乐/歌手/张宇,张宇
音乐/歌手/许嵩,许嵩
音乐/歌手/王力宏,王力宏
音乐/歌手/卓依婷,卓依婷
音乐/歌手/陈慧娴,陈慧娴
