节点名称,淘宝分类
食品,
食品/休闲零食,
食品/休闲零食/糕点,饼干||蛋糕||糕点
食品/休闲零食/肉类,肉脯||牛肉干
食品/休闲零食/坚果,坚果
食品/休闲零食/豆类,
食品/休闲零食/膨化油炸,
食品/休闲零食/糖类,巧克力||糖果
食品/休闲零食/果干蜜饯,枣子
食品/休闲零食/乳品,
食品/健康饮食,
食品/健康饮食/营养滋补,滋补食品||胶原蛋白||维生素||螺旋藻||钙片||阿胶||燕窝||中药||蜂胶
食品/健康饮食/有机食品,有机食品
食品/健康饮食/无糖食品,无糖食品
食品/粮油调味,粮油
食品/粮油调味/米类,
食品/粮油调味/面类,
食品/粮油调味/杂粮,
食品/粮油调味/食用油,
食品/粮油调味/烘培辅料,
食品/粮油调味/调味品,调味品
食品/粮油调味/咸蛋卤蛋,
食品/粮油调味/咸菜,
食品/粮油调味/南北干货,
食品/粮油调味/方便速食,
食品/粮油调味/熟食,
食品/粮油调味/速冻食品,
食品/粮油调味/半成品,
食品/饮料饮品,
食品/饮料饮品/饮用水,
食品/饮料饮品/饮料,
食品/饮料饮品/冲饮谷物,麦片
食品/饮料饮品/果味冲饮,果珍
食品/饮料饮品/咖啡,咖啡
食品/饮料饮品/奶茶,
食品/饮料饮品/奶粉,
食品/饮料饮品/乳制品,
食品/饮料饮品/蜂蜜果茶,
食品/茶,
食品/茶/绿茶,绿茶
食品/茶/龙井,龙井
食品/茶/碧螺春,
食品/茶/白茶,
食品/茶/黄茶,
食品/茶/铁观音,铁观音
食品/茶/乌龙茶,大红袍
食品/茶/红茶,
食品/茶/黑茶,
食品/茶/普洱,普洱
食品/茶/花茶,
食品/茶/大麦茶,
食品/茶/苦荞,
食品/茶/柠檬片,
食品/酒,
食品/酒/啤酒,啤酒
食品/酒/白酒,白酒
食品/酒/洋酒,
食品/酒/葡萄酒,葡萄酒
食品/酒/黄酒养生酒,黄酒
食品/酒/清酒米酒,
食品/酒/果酒奶酒,
食品/酒/收藏酒,
食品/酒/特调酒,
食品/酒/气泡酒,
食品/水果蔬菜,
食品/水果蔬菜/水果,水果
食品/水果蔬菜/进口水果,
食品/水果蔬菜/蔬菜,新鲜蔬菜
食品/生鲜,生鲜食品
食品/生鲜/牛羊肉,
食品/生鲜/猪肉,
食品/生鲜/家禽,
食品/生鲜/蛋类,
食品/生鲜/海鲜,海产干货
食品/进口食品,进口食品
食品/进口食品/进口水果,
食品/进口食品/进口乳制品,
食品/进口食品/进口酒,
食品/进口食品/进口甜点,
食品/进口食品/进口茶咖啡,
食品/进口食品/进口水/饮料,
食品/进口食品/进口零食,
食品/进口食品/粮油米面,
食品/进口食品/进口调料,
食品/进口食品/进口冲饮,
食品/进口食品/蜜饯坚果,
食品/进口食品/进口生鲜,
食品/进口食品/进口营养品,
食品/节日特色,
食品/节日特色/元宵汤圆,
食品/节日特色/粽子,
食品/节日特色/月饼,
食品/地方特产,地方特产
食品/地方特产/东北,
食品/地方特产/华北,
食品/地方特产/西北,
食品/地方特产/华东,
食品/地方特产/华南,
食品/地方特产/华中,
食品/地方特产/西南,
