节点名称,纵横中文
阅读/图书,
阅读/图书/现代言情,
阅读/图书/穿越重生,
阅读/图书/玄幻奇幻,西方奇幻||东方玄幻||异世大陆||转世重生||异术超能||上古神话||魔法校园||王朝争霸||吸血传奇||变身情缘||奇幻玄幻
阅读/图书/武侠仙侠,古典仙侠||现代修真||奇幻修真||新派武侠||传统武侠||武侠仙侠
阅读/图书/游戏竞技,电子竞技||体育竞技||动漫同人||影视同人||小说同人||游戏同人||科技时代||穿梭时空||末世危机||进化变异||星际争霸||虚拟网游||游戏攻略||游戏小说||游戏评论||游戏设定||科幻游戏
阅读/图书/青春校园,青春校园
阅读/图书/历史军事,穿越历史||架空历史||历史传记
阅读/图书/灵异悬疑,推理悬念||恐怖惊悚||灵异神怪||探险异闻||神秘文化||灵异悬疑
阅读/图书/文史传记,
阅读/图书/科幻灵异,科幻游戏
阅读/图书/影视剧本,
阅读/图书/生活休闲,
阅读/图书/经管励志,
阅读/图书/社科科普,
阅读/图书/文学小说,
阅读/图书/现代都市,职场商战||江湖情仇||都市重生||都市异能||都市生活||白领职场||青春校园||婚恋家庭||都市重生||豪门总裁
阅读/图书/教育教辅,
阅读/图书/幻想言情,
阅读/图书/古装言情,穿越历史||架空历史||历史传记
阅读/图书/社会乡士,
阅读/图书/耽美,原创耽美||同人耽美
阅读/图书/散文,散文诗歌||小说文集
阅读/图书/外文,
阅读/图书/两性情感,
阅读/图书/亲子,
阅读/图书/计算机,
阅读/图书/科技,
阅读/图书/文学,
阅读/图书/艺术,
阅读/图书/社会科学,
阅读/图书/女生,
阅读/杂志,
阅读/漫画,
